EXP_INFO, , ,Checkpoint,ckpt/0302/01_base030105_Train3DPW/, , ,Config,ckpt/0302/01_base030105_Train3DPW/01_config.yaml, , ,Arg,"train.py --config ckpt/0302/01_base030105_Train3DPW/01_config.yaml -c ckpt/0302/01_base030105_Train3DPW/ -gpu 4,5,6,7 -bs 768 -normalize_2d 0 -normalize_3d 0", , ,PID,2229516
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.22396,230.17,188.12,221.52,242.13,211.98,224.91,253.79,198.07,263.89,281.51,308.6,222.32,209.53,180.92,244.04,201.23,107.61,107.0,107.32,107.78,108.35,108.29,107.69,108.0,108.46,109.01,127.46,127.46,113.4,113.4,183.44,184.43,182.45,184.38,182.04,183.48,185.18,186.82,185.26,183.08,184.42,186.01,187.53,212.96,212.96,191.93,191.93,224.59,224.77,224.41,194.39,193.0,193.7,194.91,195.95,225.47,225.13,225.21,225.59,225.95,229.42,229.42,201.59,201.59
2,0.00019800,0.10514,135.55,116.6,126.75,130.57,131.15,127.47,149.32,119.07,144.49,157.62,185.31,124.99,136.35,124.32,135.71,123.54,47.01,41.61,44.53,48.76,53.16,66.5,63.38,64.98,67.44,70.2,100.3,100.3,68.66,68.66,95.73,109.54,81.92,77.97,57.14,70.06,85.41,99.28,100.59,83.69,93.9,106.57,118.2,137.09,137.09,111.93,111.93,148.44,151.96,144.92,71.19,57.72,65.99,76.52,84.54,151.29,146.67,149.26,152.99,156.23,160.37,160.37,117.11,117.11
3,0.00019602,0.05790,92.99,77.38,81.79,89.49,89.75,88.77,107.22,82.64,89.21,106.74,128.63,86.9,90.87,86.79,97.69,90.92,32.54,25.71,29.18,34.77,40.51,46.21,41.53,44.02,47.68,51.6,70.66,70.66,102.6,102.6,71.56,89.71,53.41,62.38,37.28,52.26,71.39,88.58,75.79,54.93,67.63,83.24,97.36,108.24,108.24,178.9,178.9,111.48,116.47,106.48,52.15,35.13,45.22,58.93,69.31,113.4,107.15,110.73,115.79,119.95,115.01,115.01,180.85,180.85
4,0.00019406,0.04586,73.27,61.02,68.95,66.61,70.21,69.11,87.62,63.93,72.2,79.38,99.26,68.88,70.23,67.98,83.1,70.6,21.81,15.46,17.56,23.97,30.26,38.53,33.08,36.25,40.33,44.45,50.37,50.37,106.32,106.32,54.44,69.16,39.71,49.94,30.74,36.57,56.73,75.71,66.65,47.72,59.54,73.59,85.76,84.69,84.69,125.0,125.0,113.71,117.47,109.94,42.45,28.47,33.56,48.3,59.46,117.25,111.53,114.98,119.57,122.91,86.42,86.42,135.99,135.99
5,0.00019212,0.03966,76.1,63.59,71.89,69.66,72.32,73.16,87.6,67.45,74.58,82.75,103.13,70.74,74.67,72.45,82.35,75.11,21.79,18.24,17.47,22.73,28.72,39.55,34.87,37.54,41.08,44.69,48.06,48.06,119.37,119.37,50.25,65.56,34.93,42.84,32.3,27.06,46.12,65.86,62.75,45.15,55.97,69.26,80.64,74.49,74.49,158.7,158.7,110.32,114.05,106.6,36.06,26.62,25.86,40.0,51.75,114.55,108.98,112.42,116.83,120.0,78.63,78.63,166.2,166.2
6,0.00019020,0.03649,66.49,56.39,64.08,57.54,62.8,64.69,79.03,59.57,65.62,72.57,87.72,64.09,64.46,62.76,72.95,63.12,17.14,13.16,12.76,17.98,24.66,36.79,31.95,34.7,38.33,42.17,44.02,44.02,129.11,129.11,41.11,50.57,31.65,35.92,26.29,21.92,38.26,57.2,59.56,45.53,52.52,64.41,75.77,67.33,67.33,225.73,225.73,108.58,111.9,105.26,32.93,23.85,23.68,36.21,47.98,113.11,108.17,111.08,115.12,118.08,74.56,74.56,233.28,233.28
7,0.00018830,0.03258,69.72,58.97,66.37,63.01,64.04,67.96,81.84,64.08,69.16,77.18,93.43,67.99,68.24,64.17,77.7,61.67,20.92,16.95,17.9,21.81,27.04,37.58,33.53,35.29,38.75,42.74,42.13,42.13,101.56,101.56,35.14,37.64,32.64,36.06,24.99,26.84,38.2,54.2,50.51,40.96,42.37,52.18,66.55,62.74,62.74,176.81,176.81,111.48,113.53,109.43,33.94,23.51,27.14,37.51,47.59,116.84,112.66,114.95,118.57,121.19,69.28,69.28,162.12,162.12
8,0.00018641,0.02967,68.92,60.05,65.16,64.29,63.78,66.55,82.04,61.8,69.2,77.88,94.17,66.65,66.31,60.38,74.91,60.72,17.33,12.79,14.35,18.42,23.75,36.25,32.65,34.16,37.19,40.99,42.84,42.84,68.6,68.6,33.57,34.6,32.55,31.66,21.11,23.66,33.93,47.96,45.62,37.89,38.93,46.7,58.95,66.08,66.08,131.32,131.32,117.36,119.46,115.26,31.76,20.94,25.43,35.47,45.21,120.97,117.91,119.11,122.01,124.83,69.02,69.02,122.86,122.86
9,0.00018455,0.03030,59.31,52.73,57.91,54.77,54.55,59.97,70.77,54.22,54.48,67.87,82.23,59.03,59.74,48.71,60.65,52.02,13.32,8.29,9.83,14.62,20.55,33.37,29.55,31.19,34.4,38.34,37.9,37.9,71.44,71.44,28.72,29.04,28.41,26.81,13.64,18.04,30.19,45.38,40.56,31.19,33.4,42.3,55.35,57.74,57.74,102.88,102.88,111.1,112.27,109.94,26.72,14.06,19.76,31.22,41.81,115.98,112.86,114.24,117.09,119.71,65.37,65.37,99.14,99.14
10,0.00018270,0.02599,60.02,53.06,58.54,54.77,55.15,59.97,70.3,55.12,55.47,68.84,82.34,58.69,60.02,50.75,63.22,53.99,13.96,9.71,10.72,14.86,20.56,33.6,30.13,31.55,34.49,38.23,36.96,36.96,90.39,90.39,27.76,28.13,27.4,26.43,15.19,19.03,28.85,42.66,38.56,29.82,32.38,40.01,52.04,53.49,53.49,137.45,137.45,107.44,108.71,106.18,26.97,15.68,20.44,30.87,40.88,110.89,107.92,109.05,111.93,114.67,64.16,64.16,129.28,129.28
11,0.00018088,0.02454,62.6,56.68,61.05,57.84,57.87,62.69,73.14,58.25,58.85,73.29,87.21,61.89,61.55,50.15,63.72,54.85,16.75,13.02,14.08,17.53,22.38,35.75,32.75,34.0,36.43,39.83,37.32,37.32,96.79,96.79,29.61,29.84,29.38,27.04,16.26,20.1,29.73,42.06,42.66,35.13,37.36,44.0,54.14,56.29,56.29,170.51,170.51,110.6,111.08,110.13,27.46,16.21,21.27,31.46,40.89,117.19,114.9,116.01,117.93,119.91,62.25,62.25,150.73,150.73
13,0.00017728,0.02250,52.76,45.92,51.02,48.42,47.41,54.42,65.72,47.49,48.84,64.83,74.65,53.07,51.8,39.99,54.11,43.76,10.7,5.84,7.62,11.89,17.45,30.62,27.21,28.76,31.48,35.03,32.75,32.75,85.22,85.22,22.78,23.13,22.44,21.48,9.65,14.79,24.84,36.63,32.46,23.79,26.99,34.59,44.47,49.98,49.98,169.11,169.11,102.44,104.46,100.43,22.99,9.76,16.47,27.86,37.86,103.26,101.05,101.52,103.95,106.53,58.92,58.92,154.76,154.76
15,0.00017375,0.02241,53.69,46.86,53.66,47.64,48.02,53.51,63.6,50.95,49.54,62.87,80.53,52.3,54.99,42.28,54.87,43.76,10.26,5.49,7.24,11.47,16.84,30.73,27.5,28.93,31.54,34.95,32.57,32.57,103.06,103.06,22.64,22.86,22.43,20.4,9.39,14.23,23.55,34.43,32.83,24.91,27.8,34.88,43.73,50.05,50.05,175.92,175.92,101.31,102.12,100.49,22.13,9.83,15.84,26.59,36.26,104.93,103.04,103.57,105.46,107.63,58.08,58.08,173.93,173.93
17,0.00017029,0.01917,54.64,49.29,53.57,51.04,48.87,54.32,64.09,49.92,51.87,66.22,79.19,53.74,53.54,42.83,55.41,45.77,11.28,7.25,8.58,12.24,17.06,30.13,26.98,28.36,30.92,34.24,31.9,31.9,103.36,103.36,24.44,24.48,24.41,21.83,11.41,15.92,24.72,35.29,34.08,26.43,29.3,35.95,44.66,48.58,48.58,223.0,223.0,103.74,104.83,102.66,23.4,11.9,17.42,27.55,36.71,108.6,107.03,107.14,109.04,111.18,57.66,57.66,205.57,205.57
19,0.00016690,0.01801,53.57,46.1,52.14,49.9,48.81,55.76,65.72,49.22,48.12,62.54,71.71,53.76,52.18,44.2,56.76,46.61,10.78,6.7,8.05,11.74,16.64,28.9,25.53,27.07,29.76,33.23,31.45,31.45,155.08,155.08,22.9,23.21,22.59,21.1,10.56,15.22,24.03,34.59,31.44,23.48,26.69,33.45,42.16,46.51,46.51,267.39,267.39,100.62,101.86,99.37,22.06,10.07,16.07,26.46,35.63,103.2,100.77,101.6,104.01,106.43,55.5,55.5,244.34,244.34
21,0.00016358,0.01687,52.15,45.97,51.1,48.89,46.47,54.18,64.96,47.97,47.71,62.39,72.9,52.07,50.35,40.95,53.24,43.1,9.24,4.82,6.41,10.43,15.32,28.74,25.38,26.88,29.63,33.06,30.01,30.01,153.52,153.52,21.17,21.22,21.12,18.95,7.75,12.97,22.23,32.83,30.3,21.99,25.16,32.46,41.59,45.46,45.46,248.22,248.22,104.79,105.29,104.29,20.86,7.95,14.62,25.57,35.31,107.41,105.72,106.04,107.81,110.06,54.5,54.5,239.99,239.99
23,0.00016033,0.01596,52.9,46.52,52.81,49.67,47.72,54.47,64.11,49.27,48.68,61.93,73.08,52.96,52.06,41.8,53.51,44.86,10.56,6.88,7.87,11.39,16.09,28.84,25.52,27.01,29.71,33.11,30.89,30.89,102.79,102.79,23.99,24.13,23.85,21.27,12.05,15.81,23.77,33.43,31.82,24.59,27.29,33.61,41.77,47.62,47.62,193.44,193.44,101.03,101.43,100.62,22.34,11.45,16.69,26.21,35.0,104.37,102.23,102.95,104.95,107.34,56.4,56.4,173.52,173.52
25,0.00015714,0.01542,51.48,46.8,52.08,46.61,46.67,53.35,61.52,49.44,46.55,62.71,73.87,50.56,50.88,38.43,50.0,42.76,7.99,3.16,5.16,9.35,14.3,28.84,25.51,27.06,29.73,33.06,29.94,29.94,107.05,107.05,20.74,20.86,20.63,17.22,6.66,11.75,20.38,30.11,30.37,23.18,25.92,32.13,40.23,43.85,43.85,214.66,214.66,100.36,100.5,100.23,19.66,6.94,13.64,24.32,33.73,103.53,101.55,102.1,104.06,106.41,53.37,53.37,195.59,195.59
