EXP_INFO, , ,PID,4022588, , , , ,"train.py --config ckpt/0501/01_AMASSMESH/config.yaml -c ckpt/0501/01_AMASSMESH/ -gpu 4,5 -bs 256", , ,Checkpoint,ckpt/0501/01_AMASSMESH/, , ,Config,ckpt/0501/01_AMASSMESH/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.30811,133.44370,133.75181,73.48,79.03,74.66,71.27,70.72,0.13,0.11,0.06,0.1,0.05,84.72,78.84,82.2,86.87,91.43,0.14,0.12,0.07,0.1,0.06,85.65,78.61,82.74,88.1,93.71,0.15,0.12,0.07,0.11,0.07,100.15,100.15,0.14,0.12,0.07,0.11,0.06,75.5,75.5,0.12,0.1,0.05,0.09,0.05
2,0.00019800,0.22865,119.43727,119.66591,60.95,62.21,61.49,60.53,59.87,0.12,0.11,0.05,0.1,0.04,68.68,55.46,62.55,73.9,84.45,0.13,0.12,0.06,0.1,0.05,76.35,65.79,71.54,80.29,89.04,0.14,0.12,0.07,0.11,0.06,90.32,90.32,0.14,0.13,0.06,0.11,0.05,55.97,55.97,0.11,0.1,0.04,0.09,0.03
3,0.00019602,0.19958,114.75422,114.95380,58.73,58.5,58.84,58.79,58.68,0.1,0.09,0.04,0.08,0.03,66.3,55.06,59.79,70.68,82.87,0.11,0.1,0.05,0.09,0.04,73.5,63.18,67.59,77.44,88.51,0.12,0.1,0.05,0.09,0.05,90.26,90.26,0.12,0.1,0.05,0.09,0.05,54.48,54.48,0.09,0.08,0.03,0.07,0.03
4,0.00019406,0.18719,112.21196,112.39915,54.11,53.41,54.11,54.3,54.37,0.1,0.09,0.04,0.08,0.03,60.6,51.08,54.99,63.61,76.95,0.1,0.09,0.04,0.08,0.04,67.98,59.32,62.96,70.68,82.66,0.12,0.1,0.05,0.09,0.05,82.84,82.84,0.11,0.1,0.05,0.09,0.04,49.52,49.52,0.09,0.08,0.03,0.07,0.02
5,0.00019212,0.18059,110.36569,110.54628,54.47,54.45,54.47,54.46,54.6,0.09,0.08,0.03,0.07,0.03,57.29,47.73,51.94,60.06,74.74,0.1,0.09,0.04,0.08,0.04,65.62,56.67,60.75,68.1,81.67,0.11,0.09,0.04,0.08,0.04,82.47,82.47,0.11,0.09,0.05,0.08,0.04,46.25,46.25,0.08,0.07,0.03,0.07,0.02
6,0.00019020,0.17583,108.95816,109.13398,48.84,48.4,48.82,48.96,49.13,0.08,0.07,0.03,0.06,0.03,51.76,42.9,46.53,54.17,69.43,0.09,0.08,0.04,0.07,0.03,59.32,51.13,54.61,61.46,75.25,0.1,0.08,0.04,0.07,0.04,76.46,76.46,0.1,0.09,0.05,0.08,0.04,40.59,40.59,0.08,0.07,0.02,0.06,0.02
7,0.00018830,0.17259,107.77537,107.94796,44.48,44.25,44.49,44.59,44.48,0.09,0.07,0.03,0.07,0.03,49.67,40.64,44.56,52.3,66.26,0.09,0.08,0.04,0.07,0.03,55.55,47.13,50.99,57.75,70.82,0.1,0.09,0.04,0.08,0.04,72.72,72.72,0.11,0.09,0.04,0.08,0.04,38.81,38.81,0.08,0.07,0.02,0.06,0.02
8,0.00018641,0.16936,106.78276,106.95212,46.72,46.45,46.67,46.83,46.81,0.08,0.07,0.03,0.06,0.03,48.89,40.61,44.27,51.22,64.42,0.09,0.08,0.03,0.07,0.03,56.51,49.12,52.44,58.5,70.47,0.1,0.08,0.04,0.07,0.03,72.52,72.52,0.1,0.08,0.04,0.07,0.04,38.76,38.76,0.07,0.06,0.02,0.06,0.02
9,0.00018455,0.16699,105.88657,106.05356,43.09,43.0,43.11,43.13,43.09,0.08,0.07,0.03,0.06,0.03,46.3,37.91,41.68,48.66,61.8,0.09,0.08,0.03,0.07,0.03,53.44,46.2,49.42,55.34,67.35,0.1,0.08,0.04,0.07,0.03,69.82,69.82,0.1,0.09,0.04,0.08,0.04,36.07,36.07,0.07,0.06,0.02,0.06,0.02
10,0.00018270,0.16494,105.14564,105.31057,44.47,44.35,44.41,44.47,44.66,0.09,0.08,0.03,0.07,0.03,47.47,39.1,42.82,49.95,62.6,0.09,0.08,0.03,0.07,0.03,55.26,48.17,51.25,57.32,68.61,0.1,0.09,0.04,0.08,0.04,71.85,71.85,0.1,0.09,0.04,0.08,0.04,37.07,37.07,0.08,0.07,0.02,0.06,0.02
11,0.00018088,0.16290,104.42325,104.58616,42.69,42.46,42.73,42.81,42.42,0.08,0.07,0.03,0.06,0.03,44.81,37.17,40.35,47.17,58.88,0.09,0.08,0.03,0.07,0.03,51.33,44.68,47.46,53.32,63.79,0.09,0.08,0.04,0.07,0.03,66.82,66.82,0.1,0.09,0.04,0.08,0.04,34.71,34.71,0.07,0.07,0.02,0.06,0.02
13,0.00017728,0.15990,103.21955,103.37945,41.51,41.44,41.49,41.57,41.45,0.08,0.07,0.03,0.06,0.02,43.94,36.29,39.57,46.33,57.69,0.08,0.07,0.03,0.07,0.03,50.49,43.84,46.58,52.54,62.79,0.09,0.08,0.03,0.07,0.03,65.25,65.25,0.09,0.08,0.04,0.07,0.03,34.79,34.79,0.07,0.06,0.02,0.05,0.02
15,0.00017375,0.15755,102.16722,102.32476,41.84,41.71,41.8,41.9,41.89,0.08,0.07,0.03,0.06,0.02,43.65,36.32,39.48,45.94,56.74,0.08,0.07,0.03,0.07,0.03,51.21,45.17,47.67,53.04,62.5,0.09,0.08,0.04,0.07,0.03,65.38,65.38,0.1,0.08,0.04,0.08,0.03,34.59,34.59,0.07,0.06,0.02,0.06,0.02
17,0.00017029,0.15570,101.14092,101.29662,40.88,40.66,40.84,40.96,40.98,0.07,0.06,0.03,0.06,0.02,43.79,36.4,39.69,46.23,56.2,0.08,0.07,0.03,0.06,0.03,49.75,43.13,45.98,51.97,61.09,0.09,0.07,0.03,0.07,0.03,65.55,65.55,0.09,0.08,0.04,0.07,0.03,34.49,34.49,0.07,0.06,0.02,0.05,0.02
19,0.00016690,0.15426,100.20264,100.35690,38.57,38.5,38.58,38.61,38.48,0.08,0.06,0.03,0.06,0.02,40.69,33.63,36.72,42.96,53.18,0.08,0.07,0.03,0.06,0.03,46.75,40.65,43.19,48.71,57.82,0.09,0.08,0.03,0.07,0.03,61.75,61.75,0.09,0.08,0.04,0.07,0.03,32.05,32.05,0.07,0.06,0.02,0.05,0.02
21,0.00016358,0.15325,99.31287,99.46612,37.97,37.94,37.96,38.01,38.0,0.07,0.06,0.03,0.06,0.02,40.23,33.08,36.14,42.57,52.75,0.08,0.07,0.03,0.06,0.03,46.33,40.16,42.62,48.38,57.46,0.08,0.07,0.03,0.07,0.03,60.73,60.73,0.09,0.08,0.04,0.07,0.03,31.38,31.38,0.07,0.06,0.02,0.05,0.02
23,0.00016033,0.15271,98.56410,98.71682,38.57,38.55,38.57,38.56,38.56,0.07,0.06,0.03,0.06,0.02,40.2,33.53,36.11,42.5,51.92,0.08,0.07,0.03,0.06,0.03,46.36,40.38,42.65,48.42,56.87,0.08,0.07,0.03,0.07,0.03,60.95,60.95,0.09,0.08,0.04,0.07,0.03,31.94,31.94,0.06,0.06,0.02,0.05,0.02
25,0.00015714,0.15232,97.82141,97.97373,37.28,37.27,37.28,37.28,37.3,0.07,0.06,0.02,0.05,0.02,38.8,32.16,34.85,41.07,50.49,0.07,0.06,0.03,0.06,0.02,44.79,38.86,41.25,46.77,55.22,0.08,0.07,0.03,0.06,0.03,60.62,60.62,0.08,0.07,0.04,0.07,0.03,30.61,30.61,0.06,0.05,0.02,0.05,0.02
