EXP_INFO, , ,PID,139489, , , , ,"train.py --config ckpt/0502_AMASS_H36MMESH/05_smalldata_ApcbHecb_M01V00Large_vx1000/config.yaml -c ckpt/0502_AMASS_H36MMESH/05_smalldata_ApcbHecb_M01V00Large_vx1000/ -gpu 6,7 -bs 160 -vertex_x1000 -out 050205", , ,Checkpoint,ckpt/0502_AMASS_H36MMESH/05_smalldata_ApcbHecb_M01V00Large_vx1000/, , ,Config,ckpt/0502_AMASS_H36MMESH/05_smalldata_ApcbHecb_M01V00Large_vx1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,MP, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , ,PE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.48044,376.86395,377.34439,133.91,132.74,133.46,134.29,135.27,154.87,132.98,97.83,117.34,87.06,157.17,157.17,166.67,143.97,98.19,126.96,87.69,132.01,132.01,155.92,134.07,97.34,118.36,86.74,286.99,288.66,287.33,286.24,286.59,353.44,311.47,126.23,275.58,117.76,330.75,330.75,359.88,318.08,129.22,281.92,120.69,284.57,284.57,348.54,306.52,125.74,271.16,117.35
2,0.00019800,0.43140,354.44237,354.87376,112.41,110.21,111.54,113.13,114.93,146.78,125.79,94.96,110.71,84.37,142.89,142.89,162.79,139.81,97.33,123.01,86.8,108.77,108.77,143.67,123.31,94.11,108.69,83.76,229.15,232.83,229.43,227.5,228.62,336.16,296.55,125.76,262.34,116.41,257.22,257.22,336.91,294.05,129.49,259.93,120.04,205.16,205.16,326.91,285.89,126.72,252.91,117.15
3,0.00019602,0.40009,341.07107,341.47116,112.12,109.67,111.21,112.95,114.76,138.58,117.91,90.11,104.07,79.88,132.89,132.89,152.01,129.68,93.47,114.24,83.16,110.17,110.17,133.96,114.31,87.8,101.03,77.95,228.15,231.66,228.68,226.52,227.35,334.8,294.43,125.59,260.74,116.23,244.25,244.25,329.49,288.49,130.59,255.56,121.04,202.98,202.98,319.08,279.79,124.24,248.15,114.82
4,0.00019406,0.38456,334.76034,335.14490,102.9,99.34,101.59,104.13,106.64,135.36,114.84,90.26,101.05,79.98,119.81,119.81,144.39,122.49,93.05,107.74,82.74,96.36,96.36,127.63,108.5,86.17,95.67,76.45,208.36,212.64,208.08,206.43,209.09,322.95,285.2,120.68,252.25,111.68,231.67,231.67,326.94,285.78,125.38,252.66,116.23,189.67,189.67,311.58,273.21,119.54,241.76,110.48
5,0.00019212,0.37300,329.32466,329.69765,107.78,103.0,106.12,109.43,112.6,132.56,112.19,87.92,98.81,78.01,125.95,125.95,143.22,121.52,90.18,106.99,80.27,100.82,100.82,123.24,104.23,82.31,92.04,73.14,197.76,201.61,197.19,195.89,199.32,314.43,279.19,125.72,246.83,116.69,225.39,225.39,315.97,277.76,129.81,245.47,120.19,185.43,185.43,296.9,263.1,123.47,232.7,114.18
6,0.00019020,0.36773,328.02680,328.39453,100.06,94.78,98.21,101.91,105.31,128.67,109.81,84.68,96.95,75.18,116.49,116.49,135.89,115.25,86.92,101.63,77.43,91.9,91.9,119.36,101.1,78.27,89.53,69.68,192.64,197.61,192.04,190.28,194.35,292.27,260.93,123.22,231.2,113.88,222.71,222.71,294.87,260.78,128.77,230.88,119.07,186.84,186.84,268.32,240.46,122.92,213.5,113.49
7,0.00018830,0.35826,321.40176,321.76002,96.94,90.61,94.78,99.15,103.16,126.43,107.41,83.56,94.49,73.87,113.84,113.84,132.86,111.97,85.07,98.62,75.53,88.07,88.07,116.49,98.1,76.27,86.6,67.57,177.38,182.51,176.11,174.9,180.47,237.55,208.46,108.88,186.54,101.22,200.04,200.04,249.32,217.08,115.08,193.16,106.85,169.01,169.01,230.66,201.83,106.57,180.27,98.95
8,0.00018641,0.34763,310.34995,310.69758,94.03,87.96,91.91,96.12,100.17,121.22,103.47,82.68,90.96,73.1,109.16,109.16,125.04,105.69,82.87,93.02,73.63,85.81,85.81,109.72,92.84,74.72,81.9,66.27,177.7,182.81,176.66,175.25,180.31,290.37,256.45,115.6,226.99,107.7,201.03,201.03,253.14,220.67,114.61,195.91,106.34,165.34,165.34,224.77,196.69,104.85,175.2,97.41
9,0.00018455,0.34635,311.23031,311.57666,89.75,81.78,87.11,92.54,97.39,122.02,103.57,82.78,90.96,73.13,105.08,105.08,126.22,105.36,82.97,92.71,73.7,78.48,78.48,108.86,90.95,72.99,80.26,64.76,165.28,170.97,163.65,162.55,169.18,221.58,191.72,102.8,171.37,94.93,188.03,188.03,233.68,201.27,109.05,178.5,100.55,153.01,153.01,212.99,184.29,99.11,163.99,91.2
10,0.00018270,0.34249,308.43389,308.77638,93.81,87.28,91.56,96.09,100.3,124.76,106.21,83.62,93.46,73.89,108.62,108.62,131.81,110.54,84.22,97.38,74.84,84.44,84.44,113.69,95.73,75.16,84.57,66.7,171.27,176.79,169.92,168.71,174.36,225.12,196.08,103.77,175.79,96.24,193.1,193.1,234.61,203.86,109.39,181.39,101.14,159.0,159.0,213.67,185.6,100.37,165.65,92.67
