EXP_INFO, , ,PID,565087, , , , ,"train_DDP.py --config ckpt/0702_base070100/00_Train2dt/config.yaml -c ckpt/0702_base070100/00_Train2dt -vertex_x1000 -fully_connected_graph -data_efficient -gpu 4,5,6,7 -bs 92", , ,Checkpoint,ckpt/0702_base070100/00_Train2dt, , ,Config,ckpt/0702_base070100/00_Train2dt/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MP, , , , , , , , , ,MIB, , , , , , ,MeshCompletion, , , , , , , , , ,MeshPred, , , , , , , , , ,MeshInBetween, , , , , , , , , ,PE, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MP, , , , , , , , , ,MIB, , , , , , ,MeshCompletion, , , , , , , , , ,MeshPred, , , , , , , , , ,MeshInBetween, , , , , , , , , ,PE, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MP, , , , , , , , , ,MIB, , , , , , ,MeshCompletion, , , , , , , , , ,MeshPred, , , , , , , , , ,MeshInBetween, , , , , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.46712,372.38375,372.85086,141.79,142.16,141.61,141.71,142.02,156.51,134.14,97.3,118.07,86.63,142.44,141.77,142.19,142.66,143.14,160.03,136.32,98.3,119.76,87.38,162.52,162.52,172.31,148.22,98.02,130.18,87.36,140.19,139.46,139.91,140.43,140.96,156.8,133.17,98.56,116.97,87.62,140.37,140.37,154.23,131.8,97.6,116.0,86.9,186.88,186.92,186.87,186.89,186.84,293.87,255.43,93.67,223.36,83.34,185.25,185.67,185.48,185.09,184.62,293.6,255.69,93.33,223.33,82.85,185.26,185.25,185.25,185.28,185.26,294.02,255.88,91.36,223.72,81.29,245.27,245.71,245.08,244.73,246.77,345.66,306.08,126.9,270.72,118.33,250.95,247.63,251.18,251.34,252.82,348.95,308.98,128.54,274.2,120.26,264.56,264.56,348.78,308.02,129.85,272.32,121.23,246.03,241.03,245.84,247.0,249.14,344.48,305.07,129.15,270.69,120.94,237.45,237.45,339.12,300.32,127.22,265.49,118.8,260.55,261.04,260.9,260.17,260.4,360.06,313.78,129.21,276.75,121.03,259.55,258.27,260.21,259.41,259.61,354.5,311.59,126.89,275.89,119.06,256.87,257.45,257.34,256.37,256.69,355.47,310.63,126.37,274.13,118.05,204.25,205.98,204.41,203.46,203.83,265.33,226.79,97.31,200.41,89.55,204.34,203.76,203.98,204.38,205.42,265.05,225.68,97.9,199.19,89.99,216.0,216.0,262.18,227.24,97.12,201.03,89.92,193.87,192.59,193.29,194.12,195.73,253.04,219.36,94.46,194.01,87.07,193.05,193.05,252.36,219.63,93.37,194.38,86.33,211.8,213.32,212.1,211.16,211.06,273.3,231.94,100.72,204.42,92.09,211.76,211.62,211.92,211.69,211.73,269.24,228.41,99.32,201.14,90.48,211.54,213.01,211.8,210.87,211.03,271.41,229.73,99.46,202.47,90.66
2,0.00019800,0.42863,347.33958,347.76821,122.6,123.11,122.24,122.45,123.24,124.57,107.88,87.27,95.18,77.58,125.36,123.43,124.66,126.02,127.38,131.85,114.03,91.26,100.32,80.93,141.21,141.21,137.93,119.41,90.86,105.28,80.87,125.3,123.5,124.64,125.93,127.18,131.19,113.7,90.19,100.11,80.0,123.64,123.64,125.2,108.46,87.35,95.72,77.62,150.25,150.57,150.07,150.17,150.57,166.03,150.58,98.97,132.31,87.62,149.51,148.77,149.31,149.79,150.06,166.46,151.69,100.96,132.98,89.01,148.13,148.49,147.92,148.02,148.53,162.07,148.67,96.75,130.7,85.55,243.56,244.19,243.53,242.88,244.9,341.43,302.69,119.51,267.38,111.27,250.29,246.71,250.17,250.92,252.77,347.53,307.79,123.23,272.71,115.06,266.11,266.11,345.98,304.84,124.57,269.51,116.07,239.84,233.36,239.19,241.35,244.39,339.05,299.2,124.96,265.59,116.87,230.88,230.88,328.93,291.13,119.95,257.42,111.73,260.35,261.09,260.89,259.77,260.02,356.54,311.68,124.25,274.97,116.62,259.61,258.2,260.25,259.6,259.79,350.03,308.61,121.6,273.27,114.58,257.89,258.72,258.37,257.29,257.64,349.96,307.49,118.38,271.5,111.1,201.85,204.03,202.0,200.96,201.13,262.25,227.72,91.41,201.49,84.57,201.44,201.38,200.93,201.2,202.73,262.39,226.61,91.34,200.3,84.41,214.47,214.47,260.25,225.29,93.5,200.07,85.85,187.82,185.53,186.91,188.44,190.43,249.82,218.13,91.0,194.06,82.96,184.69,184.69,244.44,213.89,88.55,190.36,80.76,215.62,217.32,216.0,214.89,214.69,278.46,238.51,97.08,210.86,89.04,211.52,211.36,211.57,211.36,211.71,268.11,229.4,96.06,202.36,87.79,211.58,213.5,211.83,210.72,210.92,267.99,229.99,92.78,203.24,84.95
3,0.00019602,0.41138,334.87459,335.28597,147.05,147.58,146.68,146.84,147.9,119.23,103.84,82.73,91.68,73.47,150.65,148.25,149.79,151.48,153.11,130.51,113.27,89.32,99.58,79.06,170.53,170.53,137.23,118.81,89.35,104.91,79.41,150.27,148.07,149.49,151.03,152.51,130.32,113.07,88.45,99.5,78.24,147.3,147.3,120.66,105.03,83.08,92.87,73.69,173.73,173.9,173.5,173.69,174.16,154.41,134.09,89.43,118.82,79.71,170.67,169.4,170.24,171.13,171.88,152.04,133.27,88.84,117.71,78.65,169.81,170.31,169.57,169.65,170.25,144.25,126.79,83.14,112.58,73.9,249.61,251.75,249.57,248.32,250.68,335.89,296.84,120.81,262.73,111.8,258.5,252.73,257.8,259.96,262.42,345.82,305.3,125.15,271.17,116.33,266.35,266.35,335.54,293.57,125.08,259.83,115.91,245.52,237.53,244.35,247.55,251.35,328.33,287.57,128.11,255.68,118.71,234.38,234.38,315.89,277.08,122.25,245.23,112.63,270.52,271.95,271.26,269.59,269.79,355.67,312.51,121.4,276.06,113.51,271.08,269.45,271.72,271.03,271.49,349.28,309.36,119.84,274.17,112.05,269.39,271.14,270.14,268.35,268.53,347.92,307.44,114.79,271.8,106.9,215.72,217.85,215.8,214.82,215.14,267.09,231.13,93.76,205.62,86.32,216.7,214.89,215.67,217.18,219.29,268.49,231.74,94.72,206.08,87.14,232.1,232.1,262.2,224.37,95.17,200.08,86.84,204.56,201.74,203.42,205.41,207.73,250.88,216.89,95.24,193.68,86.18,199.54,199.54,244.39,211.79,91.61,189.13,82.71,230.22,231.84,230.51,229.64,229.35,277.38,240.59,93.92,212.98,86.19,227.27,226.67,227.08,227.36,227.93,268.87,231.12,94.37,204.29,86.17,226.95,228.88,227.14,226.2,226.21,267.96,231.0,90.19,204.41,82.51
4,0.00019406,0.40359,330.40300,330.80659,143.34,144.08,142.8,143.06,144.48,123.06,106.3,82.93,94.27,74.11,148.33,145.12,147.22,149.46,151.52,133.88,115.6,89.67,102.07,79.77,164.29,164.29,136.53,118.04,88.62,104.12,79.02,145.11,141.84,143.98,146.26,148.34,129.51,112.71,88.1,99.17,78.15,141.28,141.28,120.02,104.38,82.33,92.25,73.33,150.63,151.22,150.28,150.43,151.28,137.3,119.52,83.06,105.82,73.93,152.53,150.06,151.59,153.4,155.17,140.85,124.45,82.35,109.73,72.94,148.77,149.72,148.44,148.43,149.38,132.72,117.27,75.81,103.88,67.44,252.12,254.09,252.85,250.7,252.27,332.35,295.69,126.52,261.05,116.92,258.95,253.5,258.19,260.34,263.18,338.55,300.72,128.42,266.63,119.18,272.57,272.57,331.31,293.17,128.91,258.81,119.29,244.13,235.85,242.78,246.39,250.43,323.23,284.52,130.97,252.43,121.5,234.16,234.16,312.08,275.76,126.87,243.44,116.99,276.64,277.66,277.51,275.89,275.97,355.62,312.39,120.88,275.71,114.02,274.47,273.01,275.14,274.26,275.02,350.47,310.23,118.37,274.77,112.03,272.89,274.01,273.71,272.08,272.36,349.56,308.47,114.14,272.48,107.79,212.29,214.39,212.36,211.39,211.85,257.82,230.0,96.91,203.27,89.81,214.11,212.76,213.05,214.49,216.56,259.44,231.15,98.05,203.88,90.88,219.89,219.89,248.53,216.34,96.59,191.66,88.32,190.16,187.4,188.85,191.0,193.79,236.23,205.58,97.17,182.58,88.2,188.62,188.62,232.75,203.5,95.13,180.73,86.33,220.48,222.11,220.48,219.94,220.06,267.83,231.07,91.78,204.01,84.52,219.19,219.0,219.3,219.05,219.38,262.47,226.43,90.67,199.94,83.23,218.59,220.44,218.53,217.96,218.32,261.26,226.09,86.28,199.85,79.45
5,0.00019212,0.39232,324.79275,325.18507,109.51,111.35,108.53,108.74,111.7,111.73,95.0,76.89,83.83,68.14,119.34,112.74,117.22,121.71,125.41,129.52,111.21,88.89,97.52,78.52,137.14,137.14,132.01,112.68,86.22,99.19,76.6,118.55,112.5,116.6,120.71,124.14,127.11,110.14,86.87,96.63,76.68,109.76,109.76,110.31,95.12,75.66,84.0,67.04,125.9,127.61,125.66,125.25,126.28,129.22,112.59,80.69,100.04,71.83,126.74,122.53,125.23,128.24,130.94,128.77,114.45,80.05,101.23,70.8,121.41,123.58,121.04,120.58,122.0,118.37,104.93,70.77,93.43,62.89,210.34,213.34,209.69,208.37,213.3,244.54,216.58,110.99,193.84,103.63,226.17,216.53,224.48,228.73,233.81,269.38,238.2,117.22,213.77,109.87,230.89,230.89,255.46,223.09,115.77,199.42,107.81,214.89,203.6,212.84,217.91,223.87,257.13,224.8,114.89,201.58,107.46,196.05,196.05,226.93,198.5,108.06,177.39,100.51,258.26,258.39,258.27,257.61,259.6,351.81,310.06,120.52,273.54,113.47,261.7,260.45,262.59,261.52,261.63,347.45,308.33,118.4,273.02,111.3,258.38,258.72,258.35,257.63,259.74,344.81,305.94,112.05,270.13,105.17,187.38,190.22,187.71,186.21,185.79,214.9,186.93,87.97,166.25,80.68,188.75,186.68,187.03,189.37,192.72,216.29,187.34,89.38,166.66,81.98,200.69,200.69,214.5,183.74,89.12,163.51,80.83,174.71,170.91,172.74,175.99,179.77,198.96,172.59,84.73,153.64,76.79,171.84,171.84,193.87,168.79,82.43,150.36,74.64,213.04,215.33,213.44,212.19,211.79,267.91,231.55,92.39,204.59,84.88,212.35,211.92,212.03,212.35,213.24,263.47,227.23,93.12,200.55,85.0,211.73,214.18,211.93,210.89,210.72,260.32,225.38,88.35,199.18,80.85
6,0.00019020,0.37953,315.19957,315.57909,100.2,102.79,99.21,99.14,102.3,109.88,92.84,75.19,81.96,66.61,111.58,104.26,109.26,114.21,118.26,128.76,110.44,88.23,96.84,77.84,131.06,131.06,131.89,112.05,86.12,98.79,76.55,110.78,103.87,108.58,113.24,117.1,127.0,109.9,86.16,96.62,75.98,101.04,101.04,109.65,93.99,74.31,83.18,65.85,111.25,113.52,111.03,110.4,111.44,126.3,108.84,79.89,96.59,71.01,111.25,106.39,109.46,113.0,116.27,124.77,109.85,78.81,97.11,69.63,105.08,108.05,104.8,103.95,105.32,112.5,98.89,69.53,88.05,61.64,188.52,191.09,187.15,186.64,193.5,234.34,204.54,111.05,182.55,103.41,209.68,197.5,207.65,213.12,218.79,264.24,230.8,117.33,206.81,109.79,208.83,208.83,245.71,212.08,116.39,188.56,108.19,198.78,184.42,196.06,202.82,210.02,253.2,218.97,115.64,195.89,108.07,175.9,175.9,220.61,190.98,108.42,169.96,100.75,254.14,254.28,254.34,253.64,255.07,351.14,309.07,119.19,272.77,111.88,255.78,254.08,256.61,255.73,255.84,347.04,307.79,116.73,272.72,109.44,252.05,252.41,252.14,251.45,253.2,343.86,304.79,110.62,269.31,103.42,172.23,174.99,172.46,170.99,171.11,211.28,183.22,86.89,163.28,79.97,175.0,171.57,173.23,175.94,179.69,214.58,185.75,88.87,165.59,81.9,179.68,179.68,207.7,176.65,88.36,156.94,80.36,161.09,156.43,159.16,162.47,166.64,198.9,170.86,84.72,152.5,77.0,157.05,157.05,191.91,165.9,81.7,147.91,74.27,203.34,205.84,203.47,202.55,202.38,263.96,227.21,91.35,201.11,83.81,203.37,202.54,203.09,203.33,204.44,261.21,224.77,91.94,198.66,83.83,202.69,205.26,202.67,201.89,202.07,258.39,223.43,87.36,197.7,79.77
7,0.00018830,0.37140,311.23862,311.61001,109.48,111.48,108.53,108.61,111.62,103.99,88.8,72.08,78.5,63.93,119.69,113.08,117.53,122.04,125.89,122.49,106.03,84.92,93.08,74.92,137.59,137.59,125.38,107.15,83.67,94.46,74.37,119.65,113.58,117.65,121.82,125.36,121.46,105.94,84.25,93.03,74.33,111.68,111.68,105.65,91.06,72.87,80.59,64.64,125.65,127.15,125.4,125.07,126.03,125.08,107.37,79.95,95.83,71.13,125.45,121.35,123.91,126.92,129.69,123.01,108.05,78.54,95.92,69.47,119.88,122.0,119.57,119.07,120.34,111.95,97.58,70.14,87.31,62.3,201.16,205.07,200.3,198.8,204.52,221.38,191.84,104.94,172.2,97.19,218.35,206.67,216.09,221.62,227.48,253.24,219.0,112.85,197.09,105.01,228.79,228.79,240.96,206.92,112.94,184.94,104.59,211.22,198.64,208.76,214.62,221.3,248.1,213.08,112.04,191.35,104.14,191.25,191.25,210.92,181.23,102.88,162.29,95.08,261.17,262.31,261.75,260.16,261.19,346.59,305.69,120.17,269.96,112.95,262.82,260.88,263.32,262.8,263.71,343.09,305.07,118.73,270.38,111.48,260.23,261.45,260.78,259.14,260.32,339.36,301.8,112.49,266.81,105.38,178.02,180.39,178.12,176.94,177.39,198.97,173.21,84.97,154.25,78.35,181.6,178.52,179.85,182.6,186.16,204.03,176.96,87.03,157.69,80.29,195.16,195.16,206.49,177.06,87.8,157.74,79.93,170.51,166.71,168.81,171.76,175.17,191.43,165.59,82.18,148.0,74.58,166.25,166.25,185.51,161.23,79.69,143.98,72.32,205.02,207.28,205.15,204.3,204.16,259.08,224.81,89.81,199.06,82.67,204.4,203.5,204.05,204.55,205.57,254.64,221.14,90.89,195.64,82.99,203.7,205.9,203.69,202.98,203.23,252.8,220.36,85.97,195.17,78.71
8,0.00018641,0.36277,305.55167,305.91444,105.76,108.11,104.63,104.82,108.11,112.25,93.75,73.7,83.53,65.86,116.96,109.55,114.59,119.62,123.71,129.34,111.09,88.33,98.13,78.15,130.41,130.41,128.86,110.5,82.67,97.61,73.69,115.09,108.19,112.9,117.55,121.35,126.52,109.48,86.63,96.45,76.55,105.59,105.59,111.09,93.76,73.6,83.3,65.61,116.59,118.51,116.35,115.9,116.86,124.38,108.22,77.38,96.16,68.85,117.4,112.39,115.54,119.21,122.56,125.68,110.82,78.44,98.04,69.25,111.74,114.56,111.53,110.68,111.87,113.85,100.61,68.36,89.56,60.65,175.92,180.67,174.43,172.96,181.57,212.1,182.12,101.38,163.66,92.7,202.08,185.95,199.44,206.69,213.3,253.24,216.88,111.4,195.35,102.49,202.52,202.52,223.47,191.22,109.48,171.05,100.37,190.85,172.61,187.45,196.16,204.56,237.58,202.66,109.69,182.4,100.88,163.39,163.39,193.78,165.6,99.04,148.34,90.42,254.11,254.26,254.27,253.63,255.14,343.58,304.03,121.19,268.55,114.01,256.75,254.69,257.53,256.77,257.21,341.33,304.5,118.69,269.82,111.69,252.62,252.9,252.76,252.02,253.77,337.25,300.76,112.44,265.86,105.5,181.53,184.58,181.66,180.27,180.57,212.08,187.38,91.69,168.62,86.08,185.87,181.95,183.82,187.02,191.39,216.92,192.62,94.18,173.12,88.57,193.57,193.57,210.72,181.66,89.42,163.54,81.9,166.25,161.47,164.31,167.63,172.14,195.22,169.68,84.41,153.55,76.88,160.28,160.28,186.19,162.37,80.88,147.06,73.63,204.97,207.55,205.28,204.02,203.96,257.93,224.33,90.29,199.22,83.13,203.22,202.37,202.9,203.3,204.48,253.37,220.94,90.2,196.01,82.31,202.62,205.2,202.72,201.71,201.94,250.01,219.06,85.14,194.46,77.99
9,0.00018455,0.36210,304.85413,305.21623,87.41,92.56,86.56,85.14,89.25,94.85,78.7,64.33,69.49,57.09,102.63,91.82,99.2,106.52,112.45,117.43,100.89,81.96,88.3,72.14,116.45,116.45,115.05,96.52,77.9,84.91,69.2,101.51,91.2,98.24,105.2,110.87,115.29,99.57,80.74,87.07,71.02,87.96,87.96,94.28,78.85,64.12,69.56,56.84,104.71,107.81,104.61,103.5,104.63,113.98,98.99,72.72,88.23,64.61,106.1,99.64,103.69,108.44,112.73,114.67,101.63,73.03,90.06,64.45,98.28,102.7,98.15,96.53,98.13,98.92,88.17,61.18,78.95,54.29,164.19,170.59,163.08,160.29,168.84,193.82,166.77,97.21,149.5,89.57,188.74,172.89,185.83,193.19,200.88,231.71,198.18,107.95,178.28,100.0,191.51,191.51,208.73,177.83,105.63,159.02,97.28,184.35,166.42,180.97,189.44,198.2,222.19,189.84,104.92,171.05,97.07,157.22,157.22,178.63,153.72,92.85,138.08,85.3,251.28,251.82,251.35,250.53,252.48,340.87,301.85,114.64,266.51,107.77,255.98,253.53,256.47,256.13,257.03,339.39,302.98,114.12,268.51,107.41,251.47,252.23,251.58,250.43,252.84,334.13,298.83,105.45,264.18,99.01,167.34,170.67,167.32,166.05,166.27,191.59,169.33,82.61,151.29,76.39,170.55,166.34,168.16,171.95,176.47,196.64,172.43,85.6,153.99,79.25,174.99,174.99,188.18,162.06,83.01,144.88,75.35,151.59,145.4,148.95,153.64,158.79,171.42,149.9,77.73,134.76,70.48,145.64,145.64,162.45,143.69,74.11,129.2,67.09,198.13,200.7,198.33,197.2,197.25,253.77,220.39,86.15,194.83,79.13,199.27,198.02,198.88,199.46,200.65,251.47,219.02,87.14,193.4,79.51,199.01,201.8,199.09,198.05,198.33,247.34,217.52,80.44,192.35,73.65
